Category,Name,Details
Player Roster - Quarterbacks,Bryce Young – QB,"Stats:\n• 2023 NFL Draft: 1st Overall Pick\n• 2023 Passing Yards: 2,877\n• 2023 TD/INT: 11/10\n\nDescription:\nYoung franchise quarterback adjusting to the NFL after a promising college career at Alabama."
Player Roster - Quarterbacks,Andy Dalton – QB,"Stats:\n• NFL Starts: 150+\n• Career Passing Yards: 34,000+\n\nDescription:\nSeasoned veteran backup providing experience and mentorship behind center."
Player Roster - Running Backs,Chuba Hubbard – RB,"Stats:\n• Career Rushing Yards: 2,000+\n• Reliable pass-catcher out of backfield\n\nDescription:\nDurable lead back and team captain who stepped up as the primary ball carrier."
Player Roster - Running Backs,Miles Sanders – RB,"Stats:\n• Career Rushing Yards: 4,000+\n• Super Bowl appearance with Philadelphia\n\nDescription:\nVeteran back providing depth and experience in the Panthers backfield."
Player Roster - Running Backs,Raheem Blackshear – RB,"Stats:\n• Versatile option as runner and receiver\n\nDescription:\nChange-of-pace back with value on third downs and special teams."
Player Roster - Running Backs,Spencer Brown – RB,"Stats:\n• Developmental roster back\n\nDescription:\nYoung back competing for depth and contributing on special teams units."
Player Roster - Running Backs,Giovanni Ricci – FB,"Stats:\n• Strong blocking grades in college\n\nDescription:\nFullback providing lead blocking and short-yardage support in the running game."
Player Roster - Tight Ends,Hayden Hurst – TE,"Stats:\n• Career Receptions: 200+\n• Reliable yards-after-catch\n\nDescription:\nVeteran tight end offering dependable hands and experience in the passing game."
Player Roster - Tight Ends,Tommy Tremble – TE,"Stats:\n• Strong blocking grades\n• Improving as a pass-catcher\n\nDescription:\nAthletic tight end valued for his blocking ability and growing receiving role."
Player Roster - Tight Ends,Ian Thomas – TE,"Stats:\n• Veteran depth option\n\nDescription:\nReliable veteran providing depth and run-blocking support at tight end."
Player Roster - Offensive Line,Ikem Ekwonu – OT,"Stats:\n• 2022 NFL Draft: 6th Overall Pick\n\nDescription:\nYoung franchise left tackle developing into a cornerstone of the offensive line."
Player Roster - Offensive Line,Bradley Bozeman – C,"Stats:\n• Starting experience with Baltimore and Carolina\n\nDescription:\nVeteran center anchoring the interior and providing leadership up front."
Player Roster - Offensive Line,Robert Hunt – G,"Stats:\n• Starting guard experience\n• Strong run-blocking metrics\n\nDescription:\nPhysical interior lineman adding power and reliability to the offensive line."
Player Roster - Offensive Line,Taylor Moton – OT,"Stats:\n• Pro Bowl right tackle\n• One of the better pass protectors in the NFC\n\nDescription:\nElite right tackle and team leader, one of the Panthers' most consistent offensive players."
Player Roster - Offensive Line,Michael Jordan – G,"Stats:\n• NFL starter experience\n\nDescription:\nDepth interior lineman capable of starting at guard when needed."
Player Roster - Offensive Line,Brady Christensen – OT,"Stats:\n• Swing tackle versatility\n\nDescription:\nVersatile lineman providing depth at both tackle and guard positions."
Player Roster - Wide Receivers,Adam Thielen – WR,"Stats:\n• Career Receptions: 700+\n• Career TD Receptions: 80+\n\nDescription:\nVeteran slot receiver and team leader known for precise routes and clutch catches."
Player Roster - Wide Receivers,Diontae Johnson – WR,"Stats:\n• Career Receptions: 400+\n• Career Receiving Yards: 4,500+\n\nDescription:\nPolished route runner and reliable target in the short-to-intermediate passing game."
Player Roster - Wide Receivers,Jonathan Mingo – WR,"Stats:\n• 2023 NFL Draft: 2nd Round Pick\n\nDescription:\nBig-bodied receiver developing as a downfield threat in the Panthers offense."
Player Roster - Wide Receivers,Terrace Marshall Jr. – WR,"Stats:\n• Former 2nd-round pick\n\nDescription:\nTall receiver with upside looking to establish himself as a consistent contributor."
Player Roster - Wide Receivers,Laviska Shenault Jr. – WR,"Stats:\n• Versatile receiver and returner\n\nDescription:\nDynamic playmaker used in multiple roles including jet sweeps and screen passes."
Player Roster - Wide Receivers,David Moore – WR,"Stats:\n• Special teams contributor\n\nDescription:\nDepth receiver providing value on coverage units and as a reserve pass-catcher."
Player Roster - Defensive Front,Derrick Brown – DT,"Stats:\n• 2020 NFL Draft: 7th Overall Pick\n• Consistent run-stuffing grades\n\nDescription:\nAnchor of the Panthers defensive line and a dominant force against the run."
Player Roster - Defensive Front,Shy Tuttle – DT,"Stats:\n• Veteran rotational lineman\n\nDescription:\nReliable interior presence providing depth and run-stopping ability."
Player Roster - Defensive Front,LaBryan Ray – DT,"Stats:\n• Developmental rotational lineman\n\nDescription:\nYoung defensive tackle fighting for snaps and contributing on passing downs."
Player Roster - Defensive Front,Ja'Von Rolland-Jones – DT,"Stats:\n• Practice squad experience\n\nDescription:\nDepth lineman working to earn a roster spot through training camp competition."
Player Roster - Linebackers,Frankie Luvu – LB,"Stats:\n• Career sacks: 15+\n• Consistent pressure rates\n\nDescription:\nHigh-energy pass rusher and run defender who leads the Panthers linebacker group."
Player Roster - Linebackers,Josey Jewell – LB,"Stats:\n• Veteran starts: 50+\n• Strong tackling efficiency\n\nDescription:\nExperienced inside linebacker providing leadership and sound run defense."
Player Roster - Linebackers,DJ Wonnum – OLB,"Stats:\n• Career sacks: 10+\n\nDescription:\nEdge rusher capable of setting the edge in the run game and rushing the passer."
Player Roster - Secondary,Jaycee Horn – CB,"Stats:\n• 2021 NFL Draft: 8th Overall Pick\n\nDescription:\nPhysical, aggressive cornerback with the talent to become an elite cover man."
Player Roster - Secondary,Xavier Woods – SAF,"Stats:\n• Career interceptions: 10+\n• Veteran starting experience\n\nDescription:\nSolid veteran safety providing experience and leadership in the secondary."
Player Roster - Specialists,Johnny Hekker – P,"Stats:\n• Career net average: 42+ yards\n• Multiple Pro Bowls\n\nDescription:\nVeteran punter with excellent hang time and pinning ability near the goal line."
Player Roster - Specialists,Eddy Piñeiro – K,"Stats:\n• Career FG%: 85%+\n\nDescription:\nAccurate placekicker responsible for field goals and extra points."
Coaching Staff,Dave Canales – Head Coach,"Role:\n• Overall team leadership and vision\n• Game management and decision-making\n• Quarterback development focus\n\nDescription:\nOffensive-minded head coach hired in 2024 to rebuild the Panthers and develop Bryce Young."
Coaching Staff,Brad Idzik – Offensive Coordinator,"Role:\n• Offensive scheme design and play-calling\n• Quarterback development support\n\nDescription:\nCoordinates an offense built around getting Bryce Young into rhythm with quick, efficient throws."
Coaching Staff,Ejiro Evero – Defensive Coordinator,"Role:\n• Defensive play-calling\n• Scheme design and adjustments\n\nDescription:\nExperienced coordinator known for aggressive, multiple defensive looks."
Coaching Staff,Ryan Ficken – Special Teams Coordinator,"Role:\n• Special teams schemes\n• Game-day execution and personnel\n\nDescription:\nOversees all kicking, coverage, and return units for the Panthers."
Coaching Staff,Jeff Nixon – Assistant Head Coach / RB Coach,"Role:\n• Assists head coach with leadership duties\n• Running back development\n\nDescription:\nProvides veteran leadership and develops the Panthers' running back room."
Coaching Staff,Brian Angelichio – Tight Ends Coach,"Role:\n• Tight end development\n• Blocking and route responsibilities\n\nDescription:\nDevelops tight ends as dual threats in both the run and pass game."
Coaching Staff,Jim Hostler – Wide Receivers Coach,"Role:\n• Wide receiver technique\n• Route running and release packages\n\nDescription:\nWorks to maximize the Panthers' receiving corps within Canales' offensive system."
Coaching Staff,Josh McCown – Quarterbacks Coach,"Role:\n• Quarterback mechanics and development\n• Film study and decision-making\n\nDescription:\nFormer NFL quarterback working closely with Bryce Young on his development and confidence."
Coaching Staff,James Campen – Offensive Line Coach,"Role:\n• Offensive line technique\n• Pass protection and run blocking\n\nDescription:\nVeteran line coach developing one of the younger offensive lines in the NFC."
Coaching Staff,Sam Mills III – Defensive Line Coach,"Role:\n• Defensive line technique\n• Run defense and pass rush\n\nDescription:\nDevelops the Panthers' defensive front with an emphasis on gap control and motor."
Coaching Staff,Deshea Townsend – Defensive Backs Coach,"Role:\n• Defensive back technique\n• Coverage scheme implementation\n\nDescription:\nFormer NFL cornerback coaching the Panthers' secondary with an emphasis on physicality."
Coaching Staff,Kenny Moore II – Inside Linebackers Coach,"Role:\n• Inside linebacker fundamentals\n• Run fits and coverage assignments\n\nDescription:\nGuides inside linebackers within Evero's defensive scheme."
Coaching Staff,Carlos Polk – Outside Linebackers Coach,"Role:\n• Edge rusher technique\n• Pass rush coordination\n\nDescription:\nDevelops outside linebackers as versatile pass rushers and run defenders."
Front Office,Dan Morgan – General Manager,"Role:\n• Oversees all football operations\n• Final authority on roster construction\n• Contract negotiations and salary cap strategy\n\nDescription:\nFormer Panthers linebacker turned GM tasked with rebuilding the organization's roster."
Front Office,Steve Javie – VP of Football Operations,"Role:\n• Senior football advisor\n• Organizational leadership and compliance\n\nDescription:\nProvides operational oversight and ensures alignment across football departments."
Front Office,Samir Suleiman – VP Player Personnel,"Role:\n• Manages pro and college scouting\n• Player acquisition strategy\n\nDescription:\nOversees evaluation of current players, free agents, and draft prospects."
Front Office,Brandt Tilis – VP Football Administration,"Role:\n• Contract administration\n• Salary cap compliance\n\nDescription:\nHandles financial and contractual logistics of football operations."
Front Office,Mike Prepchuk – Director of Research & Development,"Role:\n• Football analytics and data science\n• Decision support systems\n\nDescription:\nLeads analytics initiatives supporting scouting, strategy, and performance evaluation."
Strength & Conditioning,Ryan Vermillion – S&C Coordinator,"Role:\n• Oversees all strength and conditioning programs\n• Coordinates performance development across positions\n\nDescription:\nLeads the Panthers' physical development philosophy with a focus on injury prevention and load management."
Strength & Conditioning,Chris Pina – Assistant S&C Coach,"Role:\n• Assists with daily strength programs\n• Player monitoring and recovery\n\nDescription:\nSupports individualized training plans and recovery protocols for players."
Strength & Conditioning,Marcus Polite – Assistant S&C Coach,"Role:\n• Weight room supervision\n• Conditioning and mobility work\n\nDescription:\nWorks closely with players to maintain conditioning and prevent soft-tissue injuries."
Strength & Conditioning,Jordan Weber – Applied Sports Scientist,"Role:\n• Performance data analysis\n• Load management and biometrics\n\nDescription:\nUses sports science and analytics to optimize training intensity and recovery strategies."
Medical Staff,Dr. Robert Taft – Chief Medical Officer,"Role:\n• Oversees all medical operations\n• Final authority on player health decisions\n\nDescription:\nLeads the Panthers' medical program and coordinates care across all specialties."
Medical Staff,Dr. Jasmine Carter – Team Clinician,"Role:\n• Mental health and wellness support\n• Crisis intervention\n\nDescription:\nProvides psychological and emotional support services for players and staff."
Medical Staff,Mark Shifferaw – Head Athletic Trainer,"Role:\n• Manages athletic training staff\n• Injury prevention and evaluation\n• Game-day medical coordination\n\nDescription:\nPrimary liaison between coaching staff, players, and medical personnel."
Medical Staff,Jenna Covington – Director of Rehabilitation,"Role:\n• Oversees injury rehab programs\n• Return-to-play planning\n\nDescription:\nDesigns and supervises rehabilitation pathways for injured players."
Medical Staff,DeShawn Williams – Senior Assistant Athletic Trainer,"Role:\n• Advanced injury treatment\n• Practice and game support\n\nDescription:\nVeteran trainer assisting with complex recovery cases and daily player care."
Medical Staff,Lindsey Green – Senior Physical Therapist,"Role:\n• Physical therapy and mobility\n• Post-surgical rehabilitation\n\nDescription:\nSpecializes in restoring strength, flexibility, and movement efficiency."
